canonical_project_id,snapshot_month,sector,state,ministry_department,project_age_months,months_to_target,current_time_slip_months,current_cost_overrun_pct,spend_ratio_pct,physical_progress_pct,financial_physical_gap_pct,progress_delta_1m,progress_delta_3m,progress_delta_6m,spend_delta_1m_cr,spend_delta_3m_cr,spend_delta_6m_cr,progress_velocity_3m,schedule_pressure,stagnation_streak_months,target_revision_count_to_date,cost_revision_count_to_date,data_quality_score,missing_core_fields_count,delay_event_next_3m,delay_event_next_6m,cost_escalation_next_3m,cost_escalation_next_6m,future_coverage_3m,future_coverage_6m,valid_delay_target_3m,valid_delay_target_6m,valid_cost_target_3m,valid_cost_target_6m
P-400010,2025-01,CIVIL AVIATION,LADAKH,Ministry of Civil Aviation,78,9,49,33.24172964420295,62.915625,62.47,0.4456249999999997,,,,,,,,4.17,0,0,0,92,0,0,0,0,0,1,1,1,1,1,1
P-400010,2025-02,CIVIL AVIATION,LADAKH,Ministry of Civil Aviation,79,8,49,33.24172964420295,63.2765625,62.5,0.7765624999999972,0.030000000000001137,,,2.3100000000000023,,,,4.6875,1,0,0,92,0,0,0,0,0,1,1,1,1,1,1
P-400010,2025-03,CIVIL AVIATION,LADAKH,Ministry of Civil Aviation,80,7,49,33.24172964420295,63.7390625,62.62,1.1190625000000054,0.11999999999999744,,,2.9599999999999795,,,,5.340000000000001,2,0,0,92,0,0,0,0,0,1,1,1,1,1,1
P-400010,2025-04,CIVIL AVIATION,LADAKH,Ministry of Civil Aviation,81,6,49,33.24172964420295,63.7390625,63.2,0.5390625,0.5800000000000054,0.730000000000004,,0.0,5.269999999999982,,0.24333333333333465,6.133333333333333,0,0,0,84,0,0,0,0,0,1,1,1,1,1,1
P-400010,2025-05,CIVIL AVIATION,LADAKH,Ministry of Civil Aviation,82,5,49,33.24172964420295,63.91875,63.67,0.24875000000000114,0.46999999999999886,1.1700000000000017,,1.1499999999999773,4.109999999999957,,0.39000000000000057,7.266,1,0,0,76,0,0,1,0,0,1,1,1,1,1,1
P-400010,2025-06,CIVIL AVIATION,LADAKH,Ministry of Civil Aviation,83,4,49,33.24172964420295,65.0765625,65.92,-0.8434375000000074,2.25,3.3000000000000043,,7.410000000000025,8.560000000000002,,1.1000000000000014,8.52,0,0,0,92,0,0,1,0,0,1,1,1,1,1,1
P-400010,2025-07,CIVIL AVIATION,LADAKH,Ministry of Civil Aviation,82,3,49,33.333333333333336,66.725,67.0,-0.2750000000000057,1.0799999999999983,3.799999999999997,4.530000000000001,10.550000000000011,19.110000000000014,24.379999999999995,1.2666666666666657,11.0,0,0,0,74,0,0,1,0,0,1,1,1,1,1,1
P-400010,2025-08,CIVIL AVIATION,LADAKH,Ministry of Civil Aviation,85,2,49,33.333333333333336,67.9359375,71.0,-3.0640625000000057,4.0,7.329999999999998,8.5,7.75,25.710000000000036,29.819999999999993,2.443333333333333,14.5,0,0,0,90,0,1,1,0,0,1,1,1,1,1,1
P-400010,2025-09,CIVIL AVIATION,LADAKH,Ministry of Civil Aviation,86,1,49,33.333333333333336,71.284375,71.0,0.28437499999999716,0.0,5.079999999999998,8.380000000000003,21.430000000000007,39.73000000000002,48.29000000000002,1.6933333333333327,29.0,1,0,0,82,0,1,1,0,0,1,1,1,1,1,1
P-400010,2025-10,CIVIL AVIATION,LADAKH,Ministry of Civil Aviation,87,0,49,33.333333333333336,73.6859375,77.0,-3.3140625000000057,6.0,10.0,13.799999999999997,15.369999999999948,44.549999999999955,63.65999999999997,3.3333333333333335,23.0,0,0,0,90,0,1,1,0,0,1,1,1,1,1,1
P-400012,2025-07,Energy Storage,"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",Ministry of Petroleum & Natural Gas,79,5,48,0.0,75.31849722442506,92.0,-16.68150277557494,,,,,,,,1.6,0,0,0,98,0,0,1,0,0,1,1,1,1,1,1
P-400012,2025-08,Energy Storage,"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",Ministry of Petroleum & Natural Gas,80,4,48,0.0,76.05303330689928,92.0,-15.94696669310072,0.0,,,74.09999999999945,,,,2.0,1,0,0,98,0,0,1,0,0,1,1,1,1,1,1
P-400012,2025-09,Energy Storage,"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",Ministry of Petroleum & Natural Gas,81,3,48,0.0,79.10249801744646,93.0,-13.897501982553536,1.0,,,307.6300000000001,,,,2.3333333333333335,0,0,0,90,0,1,1,0,0,1,1,1,1,1,1
P-400012,2025-10,Energy Storage,"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",Ministry of Petroleum & Natural Gas,82,2,48,0.0,79.89224821570183,93.0,-13.107751784298173,0.0,1.0,,79.67000000000007,461.39999999999964,,0.3333333333333333,3.5,1,0,0,98,0,1,1,0,0,1,1,1,1,1,1
P-400013,2025-07,Telecommunication,PAN India,Department of Telecommunications,36,8,21,16.355069159446725,30.34552580013063,72.0,-41.65447419986937,,,,,,,,3.5,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-400013,2025-08,Telecommunication,PAN India,Department of Telecommunications,37,7,21,16.355069159446725,31.97844546048334,73.0,-41.02155453951666,1.0,,,500.0,,,,3.857142857142857,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-400013,2025-09,Telecommunication,PAN India,Department of Telecommunications,38,6,21,16.355069159446725,31.97844546048334,75.0,-43.02155453951666,2.0,,,0.0,,,,4.166666666666667,0,0,0,90,0,0,0,0,0,1,1,1,1,1,1
P-400013,2025-10,Telecommunication,PAN India,Department of Telecommunications,39,5,21,16.355069159446725,31.97844546048334,76.0,-44.02155453951666,1.0,4.0,,0.0,500.0,,1.3333333333333333,4.8,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-400018,2025-01,Coal,Jharkhand,Ministry of Coal,,50,0,0.0,51.065265705542174,62.0,-10.934734294457826,,,,,,,,0.76,0,0,0,92,0,0,0,0,0,1,1,1,1,1,1
P-400018,2025-02,Coal,Jharkhand,Ministry of Coal,30,49,0,0.0,51.065265705542174,62.0,-10.934734294457826,0.0,,,0.0,,,,0.7755102040816326,1,0,0,88,0,0,0,0,0,1,1,1,1,1,1
P-400018,2025-03,Coal,Jharkhand,Ministry of Coal,,48,0,0.0,51.22118662803552,62.0,-10.778813371964482,0.0,,,1.339999999999975,,,,0.7916666666666666,2,0,0,84,0,0,0,0,0,1,1,1,1,1,1
P-400018,2025-04,Coal,Jharkhand,Ministry of Coal,32,47,0,0.0,51.5446643627605,62.0,-10.4553356372395,0.0,0.0,,2.7800000000000296,4.1200000000000045,,0.0,0.8085106382978723,3,0,0,84,0,0,0,0,0,1,1,1,1,1,1
P-400018,2025-05,Coal,Jharkhand,Ministry of Coal,33,46,0,0.0,52.19860136605346,62.0,-9.80139863394654,0.0,0.0,,5.6200000000000045,9.740000000000009,,0.0,0.8260869565217391,4,0,0,92,0,0,0,0,0,1,1,1,1,1,1
P-400018,2025-06,Coal,Jharkhand,Ministry of Coal,34,45,0,0.0,52.21256443373943,62.0,-9.78743556626057,0.0,0.0,,0.12000000000000455,8.520000000000039,,0.0,0.8444444444444444,5,0,0,92,0,0,0,0,0,1,1,1,1,1,1
P-400018,2025-07,Coal,Jharkhand,Ministry of Coal,35,44,0,0.0,52.41619250415983,62.0,-9.583807495840169,0.0,0.0,0.0,1.75,7.490000000000009,11.610000000000014,0.0,0.8636363636363636,6,0,0,74,0,0,0,0,0,1,1,1,1,1,1
P-400018,2025-08,Coal,Jharkhand,Ministry of Coal,36,43,0,0.0,52.44993658440093,62.0,-9.55006341559907,0.0,0.0,0.0,0.2899999999999636,2.159999999999968,11.899999999999977,0.0,0.8837209302325582,7,0,0,90,0,0,0,0,0,1,1,1,1,1,1
P-400018,2025-09,Coal,Jharkhand,Ministry of Coal,37,42,0,0.0,52.54884164717655,62.0,-9.451158352823448,0.0,0.0,0.0,0.8500000000000227,2.8899999999999864,11.410000000000025,0.0,0.9047619047619048,8,0,0,82,0,0,0,0,0,1,1,1,1,1,1
P-400018,2025-10,Coal,Jharkhand,Ministry of Coal,38,41,0,0.0,52.55000523615038,62.0,-9.449994763849617,0.0,0.0,0.0,0.009999999999990905,1.1499999999999773,8.639999999999986,0.0,0.926829268292683,9,0,0,86,0,0,0,0,0,1,1,1,1,1,1
P-400019,2025-08,Railways,Maharashtra,Ministry of Railways,79,25,9,137.60654273885868,20.934721522338855,16.0,4.9347215223388545,7.0,11.0,11.0,10.630000000000024,46.370000000000005,69.07000000000002,3.6666666666666665,3.36,0,2,2,90,0,0,0,0,0,1,1,1,1,1,1
P-400019,2025-09,Railways,Maharashtra,Ministry of Railways,80,24,9,137.60654273885868,21.888745590734775,16.0,5.888745590734775,0.0,11.0,11.0,11.169999999999959,21.799999999999983,59.21999999999997,3.6666666666666665,3.5,1,2,2,82,0,0,0,0,0,1,1,1,1,1,1
P-400019,2025-10,Railways,Maharashtra,Ministry of Railways,81,23,9,137.60654273885868,23.646473014869795,16.0,7.646473014869795,0.0,7.0,11.0,20.58000000000004,42.380000000000024,78.73000000000002,2.3333333333333335,3.652173913043478,2,2,2,90,0,0,0,0,0,1,1,1,1,1,1
P-400022,2025-08,Railways,"Multi-States (Gujarat, Rajasthan)",Ministry of Railways,37,59,0,0.0,68.4553252323088,15.0,53.455325232308795,1.0,3.0,6.0,23.480000000000018,852.2900000000002,992.4800000000001,1.0,1.4406779661016949,0,1,0,90,0,0,0,0,0,1,1,1,1,1,1
P-400022,2025-09,Railways,"Multi-States (Gujarat, Rajasthan)",Ministry of Railways,38,58,0,0.0,69.03716940671909,16.0,53.03716940671909,1.0,3.5,6.0,16.279999999999973,828.5,940.82,1.1666666666666667,1.4482758620689655,0,1,0,82,0,0,0,0,0,1,1,1,1,1,1
P-400022,2025-10,Railways,"Multi-States (Gujarat, Rajasthan)",Ministry of Railways,39,57,0,0.0,72.00142959256611,17.0,55.00142959256611,1.0,3.0,6.0,82.93999999999983,122.69999999999982,993.8999999999999,1.0,1.456140350877193,0,1,0,90,0,0,0,0,0,1,1,1,1,1,1
P-400023,2025-10,Railways,Karnataka,Ministry of Railways,79,18,-12,0.0,0.0,0.0,0.0,,0.0,-1.0,,0.0,-0.88,0.0,5.555555555555555,1,1,0,78,0,0,0,0,0,1,1,1,1,1,1
P-400033,2025-08,Coal,Maharashtra,Ministry of Coal,66,31,0,0.0,12.009782814625996,26.0,-13.990217185374004,0.0,9.0,9.0,49.21000000000001,8.400000000000006,8.400000000000006,3.0,2.3870967741935485,1,0,1,90,0,0,0,0,0,1,1,1,1,1,1
P-400033,2025-09,Coal,Maharashtra,Ministry of Coal,67,30,0,0.0,12.016672120700642,28.0,-15.983327879299358,2.0,11.0,11.0,0.03999999999999204,8.439999999999998,8.439999999999998,3.6666666666666665,2.4,0,0,1,82,0,0,0,0,0,1,1,1,1,1,1
P-400033,2025-10,Coal,Maharashtra,Ministry of Coal,68,29,0,0.0,12.705602728165205,28.0,-15.294397271834795,0.0,2.0,11.0,4.0,53.25,12.439999999999998,0.6666666666666666,2.4827586206896552,1,0,1,90,0,0,0,0,0,1,1,1,1,1,1
P-400035,2025-01,Energy Storage,Tripura,Ministry of Petroleum & Natural Gas,31,8,1,0.0,56.66158536585366,72.1,-15.438414634146334,,,,,,,,3.4875000000000007,0,0,0,92,0,0,0,0,0,1,1,1,1,1,1
P-400035,2025-02,Energy Storage,Tripura,Ministry of Petroleum & Natural Gas,32,7,1,0.0,57.84146341463415,76.2,-18.358536585365854,4.1000000000000085,,,7.740000000000009,,,,3.3999999999999995,0,0,0,92,0,0,1,0,0,1,1,1,1,1,1
